"id_municipio";"uf";"Cidade";"longitude";"latitude"
5028;"SP";"Junqueirópolis";-51.434187;-21.510348
5030;"SP";"Juquitiba";-47.065332;-23.924381
5029;"SP";"Juquiá";-47.64264;-24.310084
5025;"SP";"Júlio Mesquita";-49.787294;-22.011174
5031;"SP";"Lagoinha";-45.194415;-23.084621
5032;"SP";"Laranjal Paulista";-47.837549;-23.050564
5034;"SP";"Lavrinhas";-44.902359;-22.570047
5033;"SP";"Lavínia";-51.041172;-21.163913
5035;"SP";"Leme";-47.384109;-22.180857
5036;"SP";"Lençóis Paulista";-48.803683;-22.602693
5037;"SP";"Limeira";-47.396987;-22.56605
5038;"SP";"Lindóia";-46.650035;-22.522562
5039;"SP";"Lins";-49.752555;-21.67182
5040;"SP";"Lorena";-45.11968;-22.73338
5041;"SP";"Lourdes";-50.226274;-20.966025
5042;"SP";"Louveira";-46.948369;-23.085572
5044;"SP";"Lucianópolis";-49.522002;-22.429418
5043;"SP";"Lucélia";-51.021511;-21.718203
5046;"SP";"Luiziânia";-50.329438;-21.673748
5047;"SP";"Lupércio";-49.818019;-22.41459
5048;"SP";"Lutécia";-50.394007;-22.338378
5045;"SP";"Luís Antônio";-47.700838;-21.550625
5049;"SP";"Macatuba";-48.710229;-22.50022
5050;"SP";"Macaubal";-49.968732;-20.802153
5051;"SP";"Macedônia";-50.197269;-20.144375
5052;"SP";"Magda";-50.230542;-20.644497
5053;"SP";"Mairinque";-47.184995;-23.539822
5054;"SP";"Mairiporã";-46.589695;-23.31713
5055;"SP";"Manduri";-49.320164;-23.005569
5056;"SP";"Marabá Paulista";-51.96167;-22.106766
5057;"SP";"Maracaí";-50.671288;-22.614921
5058;"SP";"Marapoama";-49.129968;-21.258719
5061;"SP";"Marinópolis";-50.825384;-20.4389
5059;"SP";"Mariápolis";-51.182434;-21.79592
5062;"SP";"Martinópolis";-51.170949;-22.146153
5060;"SP";"Marília";-49.95006;-22.217108
5063;"SP";"Matão";-48.363968;-21.602511
5064;"SP";"Mauá";-46.461263;-23.66767
5065;"SP";"Mendonça";-49.579059;-21.175724
5066;"SP";"Meridiano";-50.181055;-20.357874
5067;"SP";"Mesópolis";-50.632641;-19.968351
5068;"SP";"Miguelópolis";-48.030997;-20.179612
5069;"SP";"Mineiros do Tietê";-48.450998;-22.412007
5071;"SP";"Mira Estrela";-50.139039;-19.978925
5070;"SP";"Miracatu";-47.462458;-24.276639
5072;"SP";"Mirandópolis";-51.1035;-21.131345
5073;"SP";"Mirante do Paranapanema";-51.90835;-22.290427
5074;"SP";"Mirassol";-49.52061;-20.816874
5075;"SP";"Mirassolândia";-49.461726;-20.617859
5076;"SP";"Mococa";-47.002405;-21.464731
5078;"SP";"Mogi Guaçu";-46.9428;-22.367453
5079;"SP";"Mogi Mirim";-46.950514;-22.431878
5077;"SP";"Mogi das Cruzes";-46.18541;-23.52082
5080;"SP";"Mombuca";-47.558957;-22.928541
5082;"SP";"Mongaguá";-46.626526;-24.080901
5083;"SP";"Monte Alegre do Sul";-46.68098;-22.681699
5084;"SP";"Monte Alto";-48.497066;-21.265545
5085;"SP";"Monte Aprazível";-49.71842;-20.768015
5086;"SP";"Monte Azul Paulista";-48.638717;-20.90649
5087;"SP";"Monte Castelo";-51.567889;-21.298092
5089;"SP";"Monte Mor";-47.312182;-22.945043
5088;"SP";"Monteiro Lobato";-45.840661;-22.954413
5081;"SP";"Monções";-50.097537;-20.850949
5090;"SP";"Morro Agudo";-48.058084;-20.728828
5091;"SP";"Morungaba";-46.789601;-22.881071
5092;"SP";"Motuca";-48.153764;-21.510287
5093;"SP";"Murutinga do Sul";-51.277389;-20.990803
5094;"SP";"Nantes";-51.239977;-22.615559
5095;"SP";"Narandiba";-51.527357;-22.405737
5096;"SP";"Natividade da Serra";-45.446764;-23.370665
5097;"SP";"Nazaré Paulista";-46.398295;-23.174731
5098;"SP";"Neves Paulista";-49.635767;-20.842992
5099;"SP";"Nhandeara";-50.043596;-20.69455
5100;"SP";"Nipoã";-49.783278;-20.911397
5101;"SP";"Nova Aliança";-49.498642;-21.015649
5102;"SP";"Nova Campina";-48.902179;-24.122367
5103;"SP";"Nova Canaã Paulista";-50.948264;-20.383625
5104;"SP";"Nova Castilho";-50.347741;-20.761492
5105;"SP";"Nova Europa";-48.570468;-21.77647
5106;"SP";"Nova Granada";-49.312268;-20.532074
5107;"SP";"Nova Guataporanga";-51.644655;-21.331968
5108;"SP";"Nova Independência";-51.490531;-21.10263
5110;"SP";"Nova Luzitânia";-50.261683;-20.855967
5111;"SP";"Nova Odessa";-47.294059;-22.783186
5109;"SP";"Novais";-48.914091;-20.98928
5112;"SP";"Novo Horizonte";-49.223409;-21.465145
5113;"SP";"Nuporanga";-47.742942;-20.729619
5114;"SP";"Ocauçu";-49.922005;-22.437979
5116;"SP";"Olímpia";-48.910625;-20.736634
5117;"SP";"Onda Verde";-49.292925;-20.60423
5118;"SP";"Oriente";-50.097105;-22.154939
5119;"SP";"Orindiúva";-49.346395;-20.18607
5120;"SP";"Orlândia";-47.885205;-20.716925
5121;"SP";"Osasco";-46.791555;-23.53239
5122;"SP";"Oscar Bressane";-50.281118;-22.314874
5123;"SP";"Osvaldo Cruz";-50.879288;-21.796753
5124;"SP";"Ourinhos";-49.869702;-22.979695
5126;"SP";"Ouro Verde";-51.702398;-21.48715
5125;"SP";"Ouroeste";-50.376807;-20.006052
5127;"SP";"Pacaembu";-51.265366;-21.562661
5128;"SP";"Palestina";-49.430854;-20.390046
5129;"SP";"Palmares Paulista";-48.803656;-21.085369
5130;"SP";"Palmeira d`Oeste";-50.763199;-20.414776
5131;"SP";"Palmital";-50.217964;-22.785849
5132;"SP";"Panorama";-51.856185;-21.353973
5133;"SP";"Paraguaçu Paulista";-50.57316;-22.411369
5134;"SP";"Paraibuna";-45.663943;-23.387213
5136;"SP";"Paranapanema";-48.721435;-23.386196
5137;"SP";"Paranapuã";-50.588634;-20.104774
5138;"SP";"Parapuã";-50.794882;-21.779205
5135;"SP";"Paraíso";-48.776105;-21.015911
5139;"SP";"Pardinho";-48.367942;-23.084056
5140;"SP";"Pariquera-Açu";-47.874152;-24.714652
5141;"SP";"Parisi";-50.016277;-20.303397
5142;"SP";"Patrocínio Paulista";-47.280124;-20.638361
5143;"SP";"Paulicéia";-51.832098;-21.315262
5145;"SP";"Paulistânia";-49.400845;-22.576831
5146;"SP";"Paulo de Faria";-49.400013;-20.029612
5144;"SP";"Paulínia";-47.148776;-22.754178
5147;"SP";"Pederneiras";-48.778113;-22.351086
5148;"SP";"Pedra Bela";-46.44555;-22.790174
5149;"SP";"Pedranópolis";-50.112937;-20.247378
5150;"SP";"Pedregulho";-47.47745;-20.253468
5151;"SP";"Pedreira";-46.894846;-22.741347
5152;"SP";"Pedrinhas Paulista";-50.793287;-22.817378
5153;"SP";"Pedro de Toledo";-47.23537;-24.276391
5154;"SP";"Penápolis";-50.076855;-21.414765
5155;"SP";"Pereira Barreto";-51.112268;-20.636767
5156;"SP";"Pereiras";-47.972005;-23.08037
5157;"SP";"Peruíbe";-47.0012;-24.311974
5158;"SP";"Piacatu";-50.600343;-21.592142
5159;"SP";"Piedade";-47.425572;-23.713941
5160;"SP";"Pilar do Sul";-47.722151;-23.807716
5161;"SP";"Pindamonhangaba";-45.461264;-22.92463
5162;"SP";"Pindorama";-48.90861;-21.1853
5163;"SP";"Pinhalzinho";-46.589679;-22.781115
5164;"SP";"Piquerobi";-51.728164;-21.874671
5165;"SP";"Piquete";-45.186919;-22.606881
5166;"SP";"Piracaia";-46.359374;-23.052545
5167;"SP";"Piracicaba";-47.647612;-22.733801
5168;"SP";"Piraju";-49.380335;-23.198066
5169;"SP";"Pirajuí";-49.460777;-21.998986
5170;"SP";"Pirangi";-48.660733;-21.0886
5171;"SP";"Pirapora do Bom Jesus";-46.999103;-23.396487
5172;"SP";"Pirapozinho";-51.497635;-22.271125
5173;"SP";"Pirassununga";-47.425746;-21.995982
5174;"SP";"Piratininga";-49.133869;-22.41416
5175;"SP";"Pitangueiras";-48.220951;-21.013203
5176;"SP";"Planalto";-49.933034;-21.034249
5177;"SP";"Platina";-50.210422;-22.637142
5179;"SP";"Poloni";-49.825756;-20.782909
5180;"SP";"Pompéia";-50.175964;-22.10704
5181;"SP";"Pongaí";-49.360421;-21.73956
5182;"SP";"Pontal";-48.042261;-21.021565
5183;"SP";"Pontalinda";-50.525754;-20.439624
5184;"SP";"Pontes Gestal";-49.706355;-20.172692
5185;"SP";"Populina";-50.538035;-19.945297
5186;"SP";"Porangaba";-48.119464;-23.17615
5187;"SP";"Porto Feliz";-47.52512;-23.209318
5188;"SP";"Porto Ferreira";-47.487034;-21.849814
5189;"SP";"Potim";-45.255205;-22.834327
5190;"SP";"Potirendaba";-49.381509;-21.042789
5178;"SP";"Poá";-46.347292;-23.533285
5191;"SP";"Pracinha";-51.086791;-21.849563
5192;"SP";"Pradópolis";-48.067869;-21.362578
5193;"SP";"Praia Grande";-46.412057;-24.008378
5194;"SP";"Pratânia";-48.663618;-22.811183
5195;"SP";"Presidente Alves";-49.438133;-22.09991
5196;"SP";"Presidente Bernardes";-51.556507;-22.008198
5197;"SP";"Presidente Epitácio";-52.11114;-21.765074
5198;"SP";"Presidente Prudente";-51.392526;-22.120654
5199;"SP";"Presidente Venceslau";-51.844744;-21.873233
5200;"SP";"Promissão";-49.85989;-21.535572
5201;"SP";"Quadra";-48.054657;-23.299332
5202;"SP";"Quatá";-50.696605;-22.24559
5203;"SP";"Queiroz";-50.241461;-21.796865
5204;"SP";"Queluz";-44.778105;-22.531171
5205;"SP";"Quintana";-50.307028;-22.069172
5206;"SP";"Rafard";-47.531795;-23.010508
5207;"SP";"Rancharia";-50.893041;-22.22691
5208;"SP";"Redenção da Serra";-45.54222;-23.263763
5209;"SP";"Regente Feijó";-51.30545;-22.218131
5210;"SP";"Reginópolis";-49.226782;-21.891372
5211;"SP";"Registro";-47.844895;-24.497942
5212;"SP";"Restinga";-47.483254;-20.605593
5213;"SP";"Ribeira";-49.004409;-24.65171
5214;"SP";"Ribeirão Bonito";-48.182041;-22.068536
5215;"SP";"Ribeirão Branco";-48.763545;-24.22058
5216;"SP";"Ribeirão Corrente";-47.590394;-20.457872
5219;"SP";"Ribeirão Grande";-48.367931;-24.10114
5220;"SP";"Ribeirão Pires";-46.405805;-23.706669
5221;"SP";"Ribeirão Preto";-47.809875;-21.169923
5218;"SP";"Ribeirão do Sul";-49.933037;-22.789013
5217;"SP";"Ribeirão dos Índios";-51.610343;-21.838201
5222;"SP";"Rifaina";-47.429109;-20.080256
5223;"SP";"Rincão";-48.072838;-21.589429
5224;"SP";"Rinópolis";-50.723908;-21.728402
5225;"SP";"Rio Claro";-47.554632;-22.398378
5227;"SP";"Rio Grande da Serra";-46.397084;-23.743724
5226;"SP";"Rio das Pedras";-47.604657;-22.841723
5228;"SP";"Riolândia";-49.683582;-19.986789
5229;"SP";"Riversul";-49.428965;-23.829003
5230;"SP";"Rosana";-53.060296;-22.578173
5231;"SP";"Roseira";-45.306993;-22.893834
5233;"SP";"Rubinéia";-51.007034;-20.175906
5232;"SP";"Rubiácea";-50.729564;-21.300568
5234;"SP";"Sabino";-49.575546;-21.45934
5235;"SP";"Sagres";-50.959381;-21.88232
5236;"SP";"Sales";-49.489658;-21.342738
5237;"SP";"Sales Oliveira";-47.836873;-20.769612
5238;"SP";"Salesópolis";-45.84653;-23.528805
5239;"SP";"Salmourão";-50.861366;-21.626729
5240;"SP";"Saltinho";-47.675371;-22.844167
5241;"SP";"Salto";-47.293087;-23.199592
5243;"SP";"Salto Grande";-49.983134;-22.889389
5242;"SP";"Salto de Pirapora";-47.574322;-23.647387
5244;"SP";"Sandovalina";-51.764822;-22.455099
5245;"SP";"Santa Adélia";-48.80634;-21.242662
5246;"SP";"Santa Albertina";-50.729713;-20.031131
5248;"SP";"Santa Branca";-45.887521;-23.393311
5247;"SP";"Santa Bárbara d`Oeste";-47.414308;-22.755256
5249;"SP";"Santa Clara d`Oeste";-50.949109;-20.090041
5250;"SP";"Santa Cruz da Conceição";-47.451196;-22.140542
5251;"SP";"Santa Cruz da Esperança";-47.430381;-21.295065
5252;"SP";"Santa Cruz das Palmeiras";-47.248023;-21.823475
