Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Pirassununga,727.118,73545.0,101.15,42833.73
Piratininga,402.409,15108.0,37.54,20048.02
Pitangueiras,430.638,33674.0,78.2,34369.55
Planalto,289.825,4389.0,15.14,36082.23
Platina,327.48,3025.0,9.24,33283.11
Poá,17.264,103765.0,6010.48,31616.47
Poloni,135.12,5592.0,41.39,25044.23
Pompéia,784.674,20196.0,25.74,87425.49
Pongaí,183.399,3395.0,18.51,27887.43
Pontal,356.371,37607.0,105.53,28285.96
Pontalinda,209.525,4127.0,19.7,20773.37
Pontes Gestal,217.505,2387.0,10.97,49170.31
Populina,315.938,4127.0,13.06,28351.02
Porangaba,265.689,10451.0,39.34,22903.9
Porto Feliz,556.706,56497.0,101.48,69921.89
Porto Ferreira,244.906,52649.0,214.98,43904.33
Potim,44.643,20392.0,456.78,12047.78
Potirendaba,342.492,18496.0,54.0,35101.25
Pracinha,63.054,2578.0,40.89,9468.33
Pradópolis,167.378,17078.0,102.03,49306.42
Praia Grande,149.652,349935.0,2338.32,25940.64
Pratânia,175.1,5126.0,29.27,23527.63
Presidente Alves,286.642,3804.0,13.27,19014.7
Presidente Bernardes,749.233,14490.0,19.34,25644.3
Presidente Epitácio,1260.281,39505.0,31.35,29738.9
Presidente Prudente,560.637,225668.0,402.52,39845.11
Presidente Venceslau,755.203,35201.0,46.61,20760.95
Promissão,779.2,35131.0,45.09,51330.11
Quadra,205.672,3405.0,16.56,37038.08
Quatá,651.341,13163.0,20.21,57387.58
Queiroz,234.914,3265.0,13.9,194914.13
Queluz,249.399,9159.0,36.72,28178.35
Quintana,318.937,7038.0,22.07,41016.0
Rafard,121.645,8965.0,73.7,48529.75
Rancharia,1587.498,28588.0,18.01,46459.21
Redenção da Serra,309.441,4494.0,14.52,17461.44
Regente Feijó,263.28,20145.0,76.52,47932.82
Reginópolis,410.406,7662.0,18.67,18401.03
Registro,722.201,59947.0,83.01,41751.4
Restinga,245.746,6404.0,26.06,27280.56
Ribeira,335.759,3132.0,9.33,18699.17
Ribeirão Bonito,471.553,10989.0,23.3,27794.44
Ribeirão Branco,697.5,18627.0,26.71,37255.94
Ribeirão Corrente,148.332,4608.0,31.07,66664.82
Ribeirão do Sul,203.208,4677.0,23.02,49451.73
Ribeirão dos Índios,196.446,2025.0,10.31,21152.38
Ribeirão Grande,333.363,7450.0,22.35,15221.41
Ribeirão Pires,98.972,115559.0,1167.59,31068.87
Ribeirão Preto,650.916,698642.0,1073.32,55484.91
Riversul,385.878,5599.0,14.51,17299.84
Rifaina,162.508,4049.0,24.92,52357.63
Rincão,316.639,9098.0,28.73,20883.52
Rinópolis,358.481,9259.0,25.83,35113.28
Rio Claro,498.422,201418.0,404.11,63209.08
Rio das Pedras,226.657,31328.0,138.22,49338.49
Rio Grande da Serra,36.341,44170.0,1215.43,18472.33
Riolândia,631.897,10309.0,16.31,20921.21
Rosana,744.011,17440.0,23.44,121065.75
Roseira,129.847,10832.0,83.42,34421.96
Rubiácea,236.484,2700.0,11.42,24710.59
Rubinéia,242.877,3833.0,15.78,32233.41
Sabino,305.285,5112.0,16.75,31123.73
Sagres,147.935,2474.0,16.72,22566.69
Sales,308.555,6437.0,20.86,26150.29
Sales Oliveira,305.776,11411.0,37.32,34473.89
Salesópolis,424.997,15202.0,35.77,14499.33
Salmourão,172.934,4808.0,27.8,18037.04
Saltinho,99.738,8161.0,81.82,44465.92
Salto,133.057,134319.0,1009.48,77029.01
Salto de Pirapora,280.412,43748.0,156.01,47995.61
Salto Grande,188.441,9050.0,48.03,29155.3
Sandovalina,455.856,3645.0,8.0,72374.52
Santa Adélia,330.269,14018.0,42.44,24461.0
Santa Albertina,272.692,6393.0,23.44,35584.96
Santa Bárbara d'Oeste,271.03,183347.0,676.48,40073.67
Santa Branca,272.238,13975.0,51.33,20959.37
Santa Clara d'Oeste,183.458,2598.0,14.16,45847.14
Santa Cruz da Conceição,150.13,4277.0,28.49,35264.11
Santa Cruz da Esperança,148.062,2116.0,14.29,29296.72
Santa Cruz das Palmeiras,295.337,28864.0,97.73,18687.66
Santa Cruz do Rio Pardo,1114.747,46442.0,41.66,57811.23
Santa Ernestina,134.421,6118.0,45.51,18714.85
Santa Fé do Sul,206.537,34794.0,168.46,41007.46
Santa Gertrudes,98.291,23611.0,240.22,139885.74
Santa Isabel,363.332,53174.0,146.35,28340.36
Santa Lúcia,153.86,7149.0,46.46,14751.7
Santa Maria da Serra,252.621,5243.0,20.75,24297.18
Santa Mercedes,166.753,2956.0,17.73,23436.56
Santana da Ponte Pensa,129.888,1670.0,12.86,27564.35
Santana de Parnaíba,179.949,154105.0,856.38,79579.96
Santa Rita d'Oeste,209.8,2733.0,13.03,27518.08
Santa Rita do Passa Quatro,754.141,24833.0,32.93,29877.17
Santa Rosa de Viterbo,288.576,23411.0,81.13,30914.1
Santa Salete,79.192,1645.0,20.77,27025.83
Santo Anastácio,552.876,17963.0,32.49,26650.73
Santo André,175.782,748919.0,4260.5,45062.56
Santo Antônio da Alegria,310.311,6775.0,21.83,30114.17
Santo Antônio de Posse,154.133,23244.0,150.8,78794.3
Santo Antônio do Aracanguá,1308.432,8379.0,6.4,33916.19
Santo Antônio do Jardim,109.956,6126.0,55.71,37602.53
Santo Antônio do Pinhal,133.008,7133.0,53.63,21690.65
Santo Expedito,94.465,3000.0,31.76,14964.67
Santópolis do Aguapeí,128.026,3899.0,30.45,16609.02
