Município,Área colhida (Hectares),Valor da produção (Mil Reais)
Baldim,247,5022
Cachoeira da Prata,...,...
Caetanópolis,2,33
Capim Branco,2,61
Cordisburgo,46,1340
Fortuna de Minas,...,...
Funilândia,26,874
Inhaúma,8,204
Jaboticatubas,189,6573
Jequitibá,45,1235
Maravilhas,8,213
Matozinhos,...,...
Papagaios,6,130
Paraopeba,167,9735
Pequi,42,998
Prudente de Morais,...,...
Santana de Pirapama,89,3129
Santana do Riacho,3,41
Sete Lagoas,19,505
Conceição do Mato Dentro,392,6195
Alvorada de Minas,15,184
Conceição do Mato Dentro,61,1686
Congonhas do Norte,35,660
Dom Joaquim,14,161
Itambé do Mato Dentro,3,89
Morro do Pilar,-,-
Passabém,9,163
Rio Vermelho,82,777
Santo Antônio do Itambé,20,360
Santo Antônio do Rio Abaixo,2,27
São Sebastião do Rio Preto,1,23
Serra Azul de Minas,5,69
Serro,145,1996
Pará de Minas,163,4497
Florestal,10,350
Onça de Pitangui,43,2034
Pará de Minas,74,1145
Pitangui,10,286
São José da Varginha,26,682
Belo Horizonte,2172,55066
Belo Horizonte,...,...
Betim,18,359
Brumadinho,1243,30940
Caeté,308,6689
Confins,...,...
Contagem,1,26
Esmeraldas,60,2290
Ibirité,8,198
Igarapé,61,1236
Juatuba,85,2934
Lagoa Santa,37,1356
Mário Campos,4,74
Mateus Leme,103,3358
Nova Lima,11,197
Pedro Leopoldo,15,431
Raposos,3,80
Ribeirão das Neves,3,83
Rio Acima,2,24
Sabará,163,3283
Santa Luzia,21,601
São Joaquim de Bicas,19,758
São José da Lapa,2,47
Sarzedo,5,104
Vespasiano,...,...
Itabira,2572,91289
Alvinópolis,6,109
Barão de Cocais,53,827
Bela Vista de Minas,...,...
Bom Jesus do Amparo,107,3989
Catas Altas,22,747
Dionísio,26,583
Ferros,74,1451
Itabira,61,1453
João Monlevade,...,...
Nova Era,28,723
Nova União,1612,65767
Rio Piracicaba,12,204
Santa Bárbara,24,463
Santa Maria de Itabira,12,422
São Domingos do Prata,152,3174
São Gonçalo do Rio Abaixo,113,3233
São José do Goiabal,5,85
Taquaraçu de Minas,265,8060
